Mortgage Interest Rate,Households That Can Afford House,Minimum Income Needed
1.00%,59986612,65402
1.25%,,
1.50%,57026546,68741
1.75%,,
2.00%,54287444,72213
2.25%,,
2.50%,51823476,75814
2.75%,,
3.00%,49273014,79542
3.25%,,
3.50%,46638709,83392
3.75%,,
4.00%,43923470,87361
4.25%,,
4.50%,41130420,91444
4.75%,,
5.00%,38544821,95635
5.25%,,
5.50%,36371477,99930
5.75%,,
6.00%,34148181,104324
6.25%,,
6.50%,31877589,108812
6.75%,,
7.00%,29562374,113387
7.25%,,
7.50%,27288565,118046
7.75%,,
8.00%,25714359,122782
8.25%,,
8.50%,24116025,127591
8.75%,,
9.00%,22495223,132467
